lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 4 - min val loss: 1.2162312666575115
lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 8 - min val loss: 1.192066212495168
lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 16 - min val loss: 1.1912059585253398
lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 32 - min val loss: 1.1677043437957764
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 4 - min val loss: 1.2044623891512554
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 8 - min val loss: 1.1225319504737854
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 16 - min val loss: 1.0313616792360942
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 32 - min val loss: 1.0331782797972362
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 4 - min val loss: 1.296022117137909
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 8 - min val loss: 1.1122402747472127
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 16 - min val loss: 1.0821108023325603
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 32 - min val loss: 1.1096543073654175
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 4 - min val loss: 1.2769890626271565
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 8 - min val loss: 1.3467704852422078
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 16 - min val loss: 1.1519731481870015
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 32 - min val loss: 1.1423729062080383
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 4 - min val loss: 1.2379708886146545
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 8 - min val loss: 1.1632615725199382
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 16 - min val loss: 1.1043466925621033
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 32 - min val loss: 1.0926065643628438
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 4 - min val loss: 1.1710368394851685
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 8 - min val loss: 1.1117152174313862
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 16 - min val loss: 1.1080516775449116
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 32 - min val loss: 1.0106180608272552
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 4 - min val loss: 1.2535768349965413
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 8 - min val loss: 1.2102414965629578
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 16 - min val loss: 1.131397505601247
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 32 - min val loss: 1.0361262460549672
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 4 - min val loss: 1.7554120222727458
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 8 - min val loss: 1.3085123300552368
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 16 - min val loss: 1.2182950178782146
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 32 - min val loss: 1.112156629562378
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 4 - min val loss: 1.2295214732487996
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 8 - min val loss: 1.175473968187968
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 16 - min val loss: 1.1979185740152996
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 32 - min val loss: 1.0771052837371826
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 4 - min val loss: 1.2452160517374675
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 8 - min val loss: 1.160834829012553
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 16 - min val loss: 1.0308766265710194
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 32 - min val loss: 1.0318174560864766
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 4 - min val loss: 1.3467909892400105
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 8 - min val loss: 1.2288027207056682
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 16 - min val loss: 1.1494096716245015
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 32 - min val loss: 0.9963359534740448
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 4 - min val loss: 1.82382067044576
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 8 - min val loss: 1.2586682041486104
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 16 - min val loss: 1.3026002645492554
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 32 - min val loss: 1.1017118493715923
lr: 0.005, hidden_size: 256, layer_num: 1, train_batch_size: 4 - min val loss: 1.3250254392623901
lr: 0.005, hidden_size: 256, layer_num: 1, train_batch_size: 8 - min val loss: 1.1669362982114155
lr: 0.005, hidden_size: 256, layer_num: 1, train_batch_size: 16 - min val loss: 1.1222822666168213
lr: 0.005, hidden_size: 256, layer_num: 1, train_batch_size: 32 - min val loss: 1.1416655381520588
lr: 0.005, hidden_size: 256, layer_num: 2, train_batch_size: 4 - min val loss: 1.2694871425628662
lr: 0.005, hidden_size: 256, layer_num: 2, train_batch_size: 8 - min val loss: 1.1624372800191243
lr: 0.005, hidden_size: 256, layer_num: 2, train_batch_size: 16 - min val loss: 1.1030039389928181
lr: 0.005, hidden_size: 256, layer_num: 2, train_batch_size: 32 - min val loss: 1.01127095023791
lr: 0.005, hidden_size: 256, layer_num: 3, train_batch_size: 4 - min val loss: 1.9138811826705933
lr: 0.005, hidden_size: 256, layer_num: 3, train_batch_size: 8 - min val loss: 1.3050473928451538
lr: 0.005, hidden_size: 256, layer_num: 3, train_batch_size: 16 - min val loss: 1.250974138577779
lr: 0.005, hidden_size: 256, layer_num: 3, train_batch_size: 32 - min val loss: 1.0841169158617656
lr: 0.005, hidden_size: 256, layer_num: 4, train_batch_size: 4 - min val loss: 1.8608962297439575
lr: 0.005, hidden_size: 256, layer_num: 4, train_batch_size: 8 - min val loss: 1.7983369827270508
lr: 0.005, hidden_size: 256, layer_num: 4, train_batch_size: 16 - min val loss: 1.2683156927426655
lr: 0.005, hidden_size: 256, layer_num: 4, train_batch_size: 32 - min val loss: 1.2022013664245605
lr: 0.005, hidden_size: 512, layer_num: 1, train_batch_size: 4 - min val loss: 1.3103308081626892
lr: 0.005, hidden_size: 512, layer_num: 1, train_batch_size: 8 - min val loss: 1.2813693086306255
lr: 0.005, hidden_size: 512, layer_num: 1, train_batch_size: 16 - min val loss: 1.1518563429514568
lr: 0.005, hidden_size: 512, layer_num: 1, train_batch_size: 32 - min val loss: 1.1170283357302349
lr: 0.005, hidden_size: 512, layer_num: 2, train_batch_size: 4 - min val loss: 1.9888737201690674
lr: 0.005, hidden_size: 512, layer_num: 2, train_batch_size: 8 - min val loss: 1.4022513429323833
lr: 0.005, hidden_size: 512, layer_num: 2, train_batch_size: 16 - min val loss: 1.2117807865142822
lr: 0.005, hidden_size: 512, layer_num: 2, train_batch_size: 32 - min val loss: 1.1350510319073994
