lr: 0.0001, hidden_size: 32, layer_num: 1, train_batch_size: 4 - min val loss: 1.176578164100647
lr: 0.0001, hidden_size: 32, layer_num: 1, train_batch_size: 8 - min val loss: 1.2330569624900818
lr: 0.0001, hidden_size: 32, layer_num: 1, train_batch_size: 4 - min val loss: 1.2038689653078716
lr: 0.0001, hidden_size: 32, layer_num: 1, train_batch_size: 8 - min val loss: 1.2229878703753154
lr: 0.0001, hidden_size: 32, layer_num: 1, train_batch_size: 16 - min val loss: 1.2238945960998535
lr: 0.0001, hidden_size: 32, layer_num: 1, train_batch_size: 32 - min val loss: 1.5700088540712993
lr: 0.0001, hidden_size: 32, layer_num: 2, train_batch_size: 4 - min val loss: 1.0231468677520752
lr: 0.0001, hidden_size: 32, layer_num: 2, train_batch_size: 8 - min val loss: 1.0806866983572643
lr: 0.0001, hidden_size: 32, layer_num: 2, train_batch_size: 16 - min val loss: 1.140074650446574
lr: 0.0001, hidden_size: 32, layer_num: 2, train_batch_size: 32 - min val loss: 1.2059610684712727
lr: 0.0001, hidden_size: 32, layer_num: 3, train_batch_size: 4 - min val loss: 1.017534464597702
lr: 0.0001, hidden_size: 32, layer_num: 3, train_batch_size: 8 - min val loss: 1.0459355413913727
lr: 0.0001, hidden_size: 32, layer_num: 3, train_batch_size: 16 - min val loss: 1.1654651959737141
lr: 0.0001, hidden_size: 32, layer_num: 3, train_batch_size: 32 - min val loss: 1.2787432273228962
lr: 0.0001, hidden_size: 32, layer_num: 4, train_batch_size: 4 - min val loss: 1.0217673381169636
lr: 0.0001, hidden_size: 32, layer_num: 4, train_batch_size: 8 - min val loss: 1.0811191002527873
lr: 0.0001, hidden_size: 32, layer_num: 4, train_batch_size: 16 - min val loss: 1.1302028894424438
lr: 0.0001, hidden_size: 32, layer_num: 4, train_batch_size: 32 - min val loss: 1.299981713294983
lr: 0.0001, hidden_size: 64, layer_num: 1, train_batch_size: 4 - min val loss: 1.0789069930712383
lr: 0.0001, hidden_size: 64, layer_num: 1, train_batch_size: 8 - min val loss: 1.037445992231369
lr: 0.0001, hidden_size: 64, layer_num: 1, train_batch_size: 16 - min val loss: 1.1152546207110088
lr: 0.0001, hidden_size: 64, layer_num: 1, train_batch_size: 32 - min val loss: 1.122752606868744
lr: 0.0001, hidden_size: 64, layer_num: 2, train_batch_size: 4 - min val loss: 0.9728100597858429
lr: 0.0001, hidden_size: 64, layer_num: 2, train_batch_size: 8 - min val loss: 1.0592509905497234
lr: 0.0001, hidden_size: 64, layer_num: 2, train_batch_size: 16 - min val loss: 1.10092959801356
lr: 0.0001, hidden_size: 64, layer_num: 2, train_batch_size: 32 - min val loss: 1.1162631313006084
lr: 0.0001, hidden_size: 64, layer_num: 3, train_batch_size: 4 - min val loss: 0.902634193499883
lr: 0.0001, hidden_size: 64, layer_num: 3, train_batch_size: 8 - min val loss: 1.0081005295117695
lr: 0.0001, hidden_size: 64, layer_num: 3, train_batch_size: 16 - min val loss: 1.0037008623282115
